"","overallei_allitems","perceptions","own","others","utilization"
"honestyhumility",-0.16,0.12,0.11,0.06,-0.01
"emotionality",0.14,-0.08,-0.31,0.18,0.25
"extraversion",0.1,0.52,0.67,0.51,0.17
"agreeableness",0.01,0.23,0.34,0.21,-0.08
"conscientiousness",0.07,0.28,0.41,0.19,-0.01
"opennes",0.12,0.31,0.35,0.32,0.33
"sincerity",-0.12,0.12,0.11,0.01,-0.02
"fairness",-0.05,0.18,0.25,0.17,0.04
"greedavoidance",-0.16,0,-0.01,-0.03,-0.03
"modesty",-0.18,0.09,-0.01,0.04,-0.01
"fearfulness",-0.04,-0.14,-0.27,-0.06,0
"anxiety",0.14,-0.24,-0.44,-0.04,0.17
"dependence",0.1,-0.07,-0.2,0.2,0.24
"sentimentality",0.2,0.28,0.09,0.47,0.33
"socialselfesteem",-0.03,0.49,0.64,0.36,0.11
"socialboldness",0.08,0.41,0.5,0.37,0.16
"sociability",0.16,0.3,0.3,0.47,0.13
"liveliness",0.08,0.45,0.68,0.4,0.12
"forgiveness",0.05,0.22,0.28,0.24,-0.01
"gentleness",0.12,0.07,0.16,0.13,-0.05
"flexibility",-0.17,0.18,0.21,0.1,-0.1
"patience",-0.01,0.24,0.38,0.15,-0.09
"organization",0.09,0.16,0.2,0.12,0
"diligence",0.04,0.28,0.51,0.21,0.09
"perfectionism",0.12,0.16,0.17,0.15,0.05
"prudence",-0.05,0.24,0.35,0.08,-0.19
"aestheticappreciation",0.08,0.24,0.22,0.3,0.28
"inquisitiveness",-0.02,0.18,0.24,0.14,0.12
"creativity",0.17,0.34,0.4,0.34,0.33
"unconventionality",0.13,0.19,0.2,0.18,0.31
